Industry,Company,Ticker,Fiscal Year,Revenue ($B),Net Income ($B),Profitability %
Aircraft,Boeing,BA,2024-12-31,66.517,-11.817,-17.765383285475895
Aircraft Engines & Engine Parts,Honeywell,HON,2024-12-31,38.498,5.705,14.81895163385111
Beverages,PepsiCo,PEP,2024-12-28,91.854,9.578,10.427417423302197
Beverages,Coca-Cola,KO,2024-12-31,47.061,10.631,22.589830220352308
Computer Communications Equipment,Cisco Systems,CSCO,2025-07-26,56.654,10.18,17.968722420305717
Construction Machinery & Equip,Caterpillar,CAT,2024-12-31,64.809,,
Electric Services,Southern Company,SO,2024-12-31,26.724,0.53,1.9832360425086064
Electric Services,NextEra Energy,NEE,2024-12-31,,6.946,
Electronic & Other Electrical Equipment (No Computer Equip),General Electric,GE,2024-12-31,38.702,6.556,16.939693039119426
Electronic Computers,Apple,AAPL,2025-09-27,416.161,112.01,26.91506412181824
Motor Vehicles & Passenger Car Bodies,Ford,F,2024-12-31,184.992,2.451,1.324922158796056
National Commercial Banks,Bank of America,BAC,2024-12-31,101.887,27.132,26.62950131027511
National Commercial Banks,JPMorgan Chase,JPM,2024-12-31,,58.471,
National Commercial Banks,Wells Fargo,WFC,2024-12-31,,19.722,
Petroleum Refining,ExxonMobil,XOM,2024-12-31,349.585,33.68,9.634280647052934
Petroleum Refining,Chevron,CVX,2024-12-31,193.414,17.661,9.131190089652248
Pharmaceutical Preparations,Johnson & Johnson,JNJ,2024-12-29,88.821,14.066,15.836345008500242
Pharmaceutical Preparations,Merck,MRK,2024-12-31,64.168,17.117,26.675289864106723
Pharmaceutical Preparations,Pfizer,PFE,2024-12-31,63.627,8.031,12.62200009429959
Pharmaceutical Preparations,AbbVie,ABBV,2024-12-31,56.334,4.278,7.59399297049739
Pharmaceutical Preparations,Eli Lilly,LLY,2024-12-31,45.0427,10.59,23.5110239839086
Retail-Eating  Places,McDonald's,MCD,2024-12-31,25.92,8.223,31.724537037037038
Retail-Variety Stores,Walmart,WMT,2025-01-31,674.538,19.436,2.881379551633859
"Security Brokers, Dealers & Flotation Companies",Goldman Sachs,GS,2024-12-31,,14.276,
"Security Brokers, Dealers & Flotation Companies",Morgan Stanley,MS,2024-12-31,,13.39,
Semiconductors & Related Devices,NVIDIA,NVDA,2025-01-26,130.497,72.88,55.848027157712444
Semiconductors & Related Devices,Intel,INTC,2025-12-27,52.853,-0.267,-0.5051747299112632
Semiconductors & Related Devices,Advanced Micro Devices,AMD,2024-12-28,25.785,1.641,6.364165212332752
"Services-Computer Programming, Data Processing, Etc.",Alphabet,GOOGL,2024-12-31,350.018,100.118,28.603671811164
"Services-Computer Programming, Data Processing, Etc.",Meta Platforms,META,2024-12-31,164.501,62.36,37.90858414234564
Services-Prepackaged Software,Microsoft,MSFT,2025-06-30,281.724,101.832,36.146015248967075
Services-Prepackaged Software,Oracle,ORCL,2025-05-31,57.399,12.443,21.678078015296435
Surgical & Medical Instruments & Apparatus,3M,MMM,2024-12-31,24.575,4.173,16.980671414038657
